date_id,T_name,T_irret,TF_name,TF_irret,FutYHret,X10_5
2016/3/31,T1606.CFE,0.0302,TF1606.CFE,0.027433333,27.67,38.54
2016/4/1,T1606.CFE,0.030133333,TF1606.CFE,0.027166667,29.67,37.61
2016/4/5,T1606.CFE,0.0304,TF1606.CFE,0.027733333,26.67,36.76
2016/4/6,T1606.CFE,0.0305,TF1606.CFE,0.027733333,27.67,38.35
2016/4/7,T1606.CFE,0.030633333,TF1606.CFE,0.027833333,28,39.45
2016/4/8,T1606.CFE,0.0303,TF1606.CFE,0.027333333,29.67,42.73
2016/4/11,T1606.CFE,0.0303,TF1606.CFE,0.027266667,30.33,40.08
2016/4/12,T1606.CFE,0.0303,TF1606.CFE,0.027466667,28.33,40.16
2016/4/13,T1606.CFE,0.030533333,TF1606.CFE,0.028066667,24.67,35.43
2016/4/14,T1606.CFE,0.0309,TF1606.CFE,0.0289,20,34.79
2016/4/15,T1606.CFE,0.0306,TF1606.CFE,0.028266667,23.33,29.18
2016/4/18,T1606.CFE,0.0306,TF1606.CFE,0.028233333,23.67,25.76
2016/4/19,T1606.CFE,0.0305,TF1606.CFE,0.028066667,24.33,25.82
2016/4/20,T1606.CFE,0.0308,TF1606.CFE,0.028633333,21.67,23.09
2016/4/21,T1606.CFE,0.0309,TF1606.CFE,0.028733333,21.67,23.54
2016/4/22,T1606.CFE,0.030733333,TF1606.CFE,0.0284,23.33,22.51
2016/4/25,T1606.CFE,0.0311,TF1606.CFE,0.029,21,19.37
2016/4/26,T1606.CFE,0.030766667,TF1606.CFE,0.028466667,23,13.94
2016/4/27,T1606.CFE,0.0308,TF1606.CFE,0.028633333,21.67,17.66
2016/4/28,T1606.CFE,0.0305,TF1606.CFE,0.028233333,22.67,14.98
2016/4/29,T1606.CFE,0.0306,TF1606.CFE,0.028433333,21.67,14.97
2016/5/3,T1606.CFE,0.0303,TF1606.CFE,0.027833333,24.67,17.68
2016/5/4,T1606.CFE,0.0302,TF1606.CFE,0.0277,25,17.13
2016/5/5,T1609.CFE,0.031933333,TF1609.CFE,0.03,19.33,17.37
2016/5/6,T1609.CFE,0.031866667,TF1609.CFE,0.030033333,18.33,17.82
2016/5/9,T1609.CFE,0.031066667,TF1609.CFE,0.0293,17.67,23.07
2016/5/10,T1609.CFE,0.031,TF1609.CFE,0.0292,18,22.15
2016/5/11,T1609.CFE,0.031,TF1609.CFE,0.0292,18,20.54
2016/5/12,T1609.CFE,0.030633333,TF1609.CFE,0.0289,17.33,20.18
2016/5/13,T1609.CFE,0.030833333,TF1609.CFE,0.029166667,16.67,20.43
2016/5/16,T1609.CFE,0.031166667,TF1609.CFE,0.029366667,18,20.79
2016/5/17,T1609.CFE,0.0312,TF1609.CFE,0.029366667,18.33,21.65
2016/5/18,T1609.CFE,0.031466667,TF1609.CFE,0.029766667,17,21.62
2016/5/19,T1609.CFE,0.031433333,TF1609.CFE,0.0297,17.33,18.36
2016/5/20,T1609.CFE,0.0311,TF1609.CFE,0.0294,17,19.74
2016/5/23,T1609.CFE,0.031133333,TF1609.CFE,0.029466667,16.67,19.35
2016/5/24,T1609.CFE,0.0309,TF1609.CFE,0.0291,18,20.2
2016/5/25,T1609.CFE,0.0309,TF1609.CFE,0.0291,18,19.26
2016/5/26,T1609.CFE,0.031,TF1609.CFE,0.0293,17,19.71
2016/5/27,T1609.CFE,0.031133333,TF1609.CFE,0.0294,17.33,18.99
2016/5/30,T1609.CFE,0.031266667,TF1609.CFE,0.0295,17.67,19.96
2016/5/31,T1609.CFE,0.0311,TF1609.CFE,0.029266667,18.33,23.6
2016/6/1,T1609.CFE,0.0311,TF1609.CFE,0.0292,19,22.12
2016/6/2,T1609.CFE,0.0313,TF1609.CFE,0.0294,19,24.18
2016/6/3,T1609.CFE,0.031266667,TF1609.CFE,0.0293,19.67,25.15
2016/6/6,T1609.CFE,0.031133333,TF1609.CFE,0.0291,20.33,24.93
2016/6/7,T1609.CFE,0.031233333,TF1609.CFE,0.029266667,19.67,24.18
2016/6/8,T1609.CFE,0.0313,TF1609.CFE,0.0295,18,22.41
2016/6/13,T1609.CFE,0.031,TF1609.CFE,0.0291,19,21.68
2016/6/14,T1609.CFE,0.0307,TF1609.CFE,0.0288,19,17.53
2016/6/15,T1609.CFE,0.030633333,TF1609.CFE,0.028733333,19,20.12
2016/6/16,T1609.CFE,0.0303,TF1609.CFE,0.0283,20,15.08
2016/6/17,T1609.CFE,0.0303,TF1609.CFE,0.028333333,19.67,20.29
2016/6/20,T1609.CFE,0.0303,TF1609.CFE,0.0283,20,18.92
2016/6/21,T1609.CFE,0.0302,TF1609.CFE,0.0282,20,18.48
2016/6/22,T1609.CFE,0.0301,TF1609.CFE,0.028066667,20.33,18.76
2016/6/23,T1609.CFE,0.0302,TF1609.CFE,0.0282,20,18.58
2016/6/24,T1609.CFE,0.0297,TF1609.CFE,0.0277,20,19.27
2016/6/27,T1609.CFE,0.0293,TF1609.CFE,0.027266667,20.33,16.66
2016/6/28,T1609.CFE,0.0297,TF1609.CFE,0.027666667,20.33,15.32
