date_id,T_name,T_irret,T_close,T_settle,TF_name,TF_irret,TF_close,TF_settle,FutYHret,quan90,quan80,quan70,quan60,quan50,quan40,quan30,quan20,quan10,position_T90,position_TF90,position_T80,position_TF80,position_T70,position_TF70,position_T60,position_TF60
2019/7/4,T1909.CFE,0.0323,98.215,98.205,TF1909.CFE,0.0306,99.77,99.755,17.0,20.7,17.4,17.0,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/7/5,T1909.CFE,0.032466667000000005,98.04,98.075,TF1909.CFE,0.030833332999999997,99.63,99.645,16.33,18.87,17.33,16.77,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/7/8,T1909.CFE,0.0326,97.97,97.95,TF1909.CFE,0.031033333,99.565,99.56,15.67,18.07,17.33,16.67,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/9,T1909.CFE,0.0324,98.16,98.14,TF1909.CFE,0.0308,99.655,99.655,16.0,18.0,17.33,16.67,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/10,T1909.CFE,0.0324,98.11,98.11,TF1909.CFE,0.0308,99.685,99.665,16.0,17.7,17.33,16.67,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/11,T1909.CFE,0.032366667,98.115,98.15,TF1909.CFE,0.030733332999999998,99.66,99.685,16.33,17.67,17.07,16.67,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,1,-2
2019/7/12,T1909.CFE,0.0323,98.29,98.195,TF1909.CFE,0.030733332999999998,99.735,99.685,15.67,17.67,17.0,16.67,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/15,T1909.CFE,0.0325,97.99,98.02,TF1909.CFE,0.0309,99.615,99.63,16.0,17.67,17.0,16.67,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/16,T1909.CFE,0.0325,98.035,98.025,TF1909.CFE,0.0309,99.63,99.625,16.0,17.67,17.0,16.43,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/17,T1909.CFE,0.032466667000000005,98.085,98.075,TF1909.CFE,0.0308,99.675,99.66,16.67,17.67,17.0,16.43,16.33,16.0,16.0,15.57,15.33,14.67,0,0,0,0,1,-2,1,-2
2019/7/18,T1909.CFE,0.0322,98.27,98.255,TF1909.CFE,0.0305,99.785,99.77,17.0,17.36,17.0,16.43,16.33,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/19,T1909.CFE,0.032266667,98.25,98.23,TF1909.CFE,0.0306,99.77,99.755,16.67,17.33,17.0,16.43,16.33,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/22,T1909.CFE,0.0321,98.375,98.36,TF1909.CFE,0.0304,99.835,99.83,17.0,17.33,17.0,16.43,16.33,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/23,T1909.CFE,0.0321,98.38,98.34,TF1909.CFE,0.0305,99.825,99.805,16.0,17.33,17.0,16.33,16.13,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
2019/7/24,T1909.CFE,0.0323,98.145,98.165,TF1909.CFE,0.0307,99.7,99.72,16.0,17.33,16.74,16.33,16.0,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,1,-2
2019/7/25,T1909.CFE,0.0323,98.2,98.195,TF1909.CFE,0.0306,99.735,99.745,17.0,17.33,16.74,16.33,16.0,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/26,T1909.CFE,0.032266667,98.24,98.23,TF1909.CFE,0.0306,99.77,99.76,16.67,17.33,16.67,16.33,16.0,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/29,T1909.CFE,0.0325,98.055,98.065,TF1909.CFE,0.0308,99.635,99.65,17.0,17.33,16.67,16.33,16.0,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/30,T1909.CFE,0.0324,98.15,98.12,TF1909.CFE,0.0307,99.71,99.69,17.0,17.33,16.67,16.33,16.0,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/7/31,T1909.CFE,0.0321,98.39,98.365,TF1909.CFE,0.0304,99.85,99.83,17.0,17.33,16.74,16.33,16.13,16.0,16.0,15.57,15.33,14.67,0,0,1,-2,1,-2,1,-2
2019/8/1,T1909.CFE,0.032,98.445,98.425,TF1909.CFE,0.0304,99.855,99.84,16.0,17.33,16.74,16.33,16.13,16.0,16.0,15.57,15.33,14.67,0,0,0,0,0,0,-1,2
