future_name,date_id,close,settle,sec_name
TS00.CFE,2020-02-06,101.025,101.025,TS2003.CFE
TS00.CFE,2020-02-07,101.12,101.105,TS2003.CFE
TS00.CFE,2020-02-10,101.125,101.13,TS2003.CFE
TS00.CFE,2020-02-11,101.055,101.055,TS2003.CFE
TS00.CFE,2020-02-12,101.065,101.075,TS2003.CFE
TS00.CFE,2020-02-13,101.12,101.13,TS2003.CFE
TS00.CFE,2020-02-14,101.03,101.085,TS2003.CFE
TS00.CFE,2020-02-17,101.045,101.055,TS2003.CFE
TS00.CFE,2020-02-18,101.145,101.115,TS2003.CFE
TS00.CFE,2020-02-19,101.125,101.13,TS2003.CFE
TS00.CFE,2020-02-20,101.13,101.135,TS2003.CFE
TS00.CFE,2020-02-21,101.105,101.105,TS2003.CFE
TS00.CFE,2020-02-24,101.16,101.155,TS2003.CFE
TS00.CFE,2020-02-25,101.175,101.165,TS2003.CFE
TS00.CFE,2020-02-26,101.15,101.15,TS2003.CFE
TS00.CFE,2020-02-27,101.215,101.205,TS2003.CFE
TS00.CFE,2020-02-28,101.27,101.27,TS2003.CFE
TS00.CFE,2020-03-02,101.27,101.25,TS2003.CFE
TS00.CFE,2020-03-03,101.23,101.23,TS2003.CFE
TS00.CFE,2020-03-04,101.295,101.31,TS2003.CFE
TS00.CFE,2020-03-05,101.32,101.31,TS2003.CFE
TS00.CFE,2020-03-06,101.36,101.36,TS2003.CFE
TS00.CFE,2020-03-09,101.36,101.43,TS2003.CFE
TS00.CFE,2020-03-10,101.275,101.265,TS2003.CFE
TS00.CFE,2020-03-11,101.31,101.31,TS2003.CFE
TS00.CFE,2020-03-12,101.31,101.35,TS2003.CFE
TS00.CFE,2020-03-13,101.31,101.285,TS2003.CFE
TS00.CFE,2020-03-16,101.065,101.06,TS2006.CFE
TS00.CFE,2020-03-17,101.005,101.015,TS2006.CFE
TS00.CFE,2020-03-18,101.1,101.105,TS2006.CFE
TS00.CFE,2020-03-19,101.065,101.06,TS2006.CFE
TS00.CFE,2020-03-20,101.18,101.18,TS2006.CFE
TS00.CFE,2020-03-23,101.31,101.295,TS2006.CFE
TS00.CFE,2020-03-24,101.38,101.39,TS2006.CFE
TS00.CFE,2020-03-25,101.5,101.485,TS2006.CFE
TS00.CFE,2020-03-26,101.55,101.55,TS2006.CFE
TS00.CFE,2020-03-27,101.515,101.475,TS2006.CFE
TS00.CFE,2020-03-30,101.63,101.615,TS2006.CFE
TS00.CFE,2020-03-31,101.73,101.715,TS2006.CFE
TS00.CFE,2020-04-01,101.685,101.685,TS2006.CFE
TS00.CFE,2020-04-02,101.62,101.62,TS2006.CFE
TS00.CFE,2020-04-03,101.595,101.605,TS2006.CFE
TS00.CFE,2020-04-07,102.11,102.11,TS2006.CFE
TS00.CFE,2020-04-08,102.42,102.3,TS2006.CFE
TS00.CFE,2020-04-09,102.315,102.26,TS2006.CFE
TS00.CFE,2020-04-10,102.18,102.145,TS2006.CFE
TS00.CFE,2020-04-13,102.12,102.12,TS2006.CFE
TS00.CFE,2020-04-14,102.195,102.195,TS2006.CFE
TS00.CFE,2020-04-15,102.32,102.335,TS2006.CFE
TS00.CFE,2020-04-16,102.3,102.305,TS2006.CFE
TS00.CFE,2020-04-17,102.315,102.3,TS2006.CFE
TS00.CFE,2020-04-20,102.42,102.385,TS2006.CFE
TS00.CFE,2020-04-21,102.66,102.585,TS2006.CFE
TS00.CFE,2020-04-22,102.69,102.72,TS2006.CFE
TS00.CFE,2020-04-23,102.645,102.66,TS2006.CFE
TS00.CFE,2020-04-24,102.65,102.605,TS2006.CFE
TS00.CFE,2020-04-27,102.665,102.64,TS2006.CFE
TS00.CFE,2020-04-28,102.64,102.675,TS2006.CFE
TS00.CFE,2020-04-29,102.78,102.76,TS2006.CFE
TS00.CFE,2020-04-30,102.67,102.67,TS2006.CFE
TS00.CFE,2020-05-06,102.56,102.58,TS2006.CFE
TS00.CFE,2020-05-07,102.325,102.345,TS2006.CFE
TS00.CFE,2020-05-08,102.43,102.4,TS2006.CFE
TS00.CFE,2020-05-11,102.315,102.325,TS2006.CFE
TS00.CFE,2020-05-12,102.32,102.345,TS2006.CFE
TS00.CFE,2020-05-13,102.37,102.35,TS2006.CFE
TS00.CFE,2020-05-14,102.385,102.385,TS2006.CFE
TS00.CFE,2020-05-15,102.445,102.455,TS2006.CFE
TS00.CFE,2020-05-18,102.32,102.315,TS2006.CFE
TS00.CFE,2020-05-19,102.265,102.295,TS2006.CFE
TS00.CFE,2020-05-20,102.115,102.2,TS2006.CFE
TS00.CFE,2020-05-21,102.22,102.23,TS2006.CFE
TS00.CFE,2020-05-22,102.405,102.375,TS2006.CFE
TS00.CFE,2020-05-25,102.2,102.2,TS2006.CFE
TS00.CFE,2020-05-26,102.075,102.085,TS2006.CFE
TS00.CFE,2020-05-27,102.02,102.02,TS2006.CFE
TS00.CFE,2020-05-28,101.92,101.95,TS2006.CFE
TS00.CFE,2020-05-29,101.93,101.96,TS2006.CFE
TS00.CFE,2020-06-01,101.93,102.025,TS2006.CFE
TS00.CFE,2020-06-02,101.865,101.865,TS2006.CFE
TS00.CFE,2020-06-03,101.49,101.485,TS2006.CFE
TS00.CFE,2020-06-04,101.465,101.465,TS2006.CFE
TS00.CFE,2020-06-05,101.365,101.29,TS2006.CFE
TS00.CFE,2020-06-08,101.295,101.29,TS2006.CFE
TS00.CFE,2020-06-09,101.31,101.36,TS2006.CFE
TS00.CFE,2020-06-10,101.31,101.255,TS2006.CFE
TS00.CFE,2020-06-11,101.3,101.285,TS2006.CFE
TS00.CFE,2020-06-12,101.3,101.325,TS2006.CFE
TS00.CFE,2020-06-15,101.28,101.305,TS2009.CFE
TS00.CFE,2020-06-16,101.13,101.17,TS2009.CFE
TS00.CFE,2020-06-17,101.025,101.04,TS2009.CFE
TS00.CFE,2020-06-18,101.08,101.05,TS2009.CFE
TS00.CFE,2020-06-19,101.04,101.025,TS2009.CFE
TS00.CFE,2020-06-22,100.94,101.005,TS2009.CFE
TS00.CFE,2020-06-23,100.99,100.885,TS2009.CFE
TS00.CFE,2020-06-24,101.2,101.16,TS2009.CFE
TS00.CFE,2020-06-29,101.21,101.21,TS2009.CFE
TS00.CFE,2020-06-30,101.22,101.215,TS2009.CFE
TS00.CFE,2020-07-01,101.17,101.17,TS2009.CFE
TS00.CFE,2020-07-02,101.215,101.205,TS2009.CFE
TS00.CFE,2020-07-03,101.185,101.195,TS2009.CFE
TS00.CFE,2020-07-06,100.8,100.84,TS2009.CFE
TS00.CFE,2020-07-07,100.81,100.815,TS2009.CFE
TS00.CFE,2020-07-08,100.67,100.645,TS2009.CFE
TS00.CFE,2020-07-09,100.56,100.57,TS2009.CFE
TS00.CFE,2020-07-10,100.635,100.645,TS2009.CFE
TS00.CFE,2020-07-13,100.51,100.505,TS2009.CFE
TS00.CFE,2020-07-14,100.595,100.62,TS2009.CFE
TS00.CFE,2020-07-15,100.76,100.735,TS2009.CFE
TS00.CFE,2020-07-16,100.805,100.79,TS2009.CFE
TS00.CFE,2020-07-17,100.805,100.78,TS2009.CFE
TS00.CFE,2020-07-20,100.805,100.79,TS2009.CFE
TS00.CFE,2020-07-21,100.9,100.895,TS2009.CFE
TS00.CFE,2020-07-22,100.97,100.95,TS2009.CFE
TS00.CFE,2020-07-23,100.94,100.95,TS2009.CFE
TS00.CFE,2020-07-24,100.965,100.96,TS2009.CFE
TS00.CFE,2020-07-27,100.93,100.925,TS2009.CFE
TS00.CFE,2020-07-28,100.865,100.86,TS2009.CFE
TS00.CFE,2020-07-29,100.815,100.805,TS2009.CFE
TS00.CFE,2020-07-30,100.815,100.815,TS2009.CFE
TS00.CFE,2020-07-31,100.725,100.71,TS2009.CFE
TS00.CFE,2020-08-03,100.755,100.76,TS2009.CFE
TS00.CFE,2020-08-04,100.73,100.715,TS2009.CFE
TS00.CFE,2020-08-05,100.615,100.63,TS2009.CFE
TS00.CFE,2020-08-06,100.52,100.53,TS2009.CFE
TS00.CFE,2020-08-07,100.545,100.535,TS2009.CFE
TS00.CFE,2020-08-10,100.64,100.625,TS2009.CFE
TS00.CFE,2020-08-11,100.625,100.605,TS2009.CFE
TS00.CFE,2020-08-12,100.605,100.585,TS2009.CFE
TS00.CFE,2020-08-13,100.62,100.625,TS2009.CFE
TS00.CFE,2020-08-14,100.67,100.66,TS2009.CFE
TS00.CFE,2020-08-17,100.685,100.67,TS2009.CFE
TS00.CFE,2020-08-18,100.685,100.675,TS2009.CFE
TS00.CFE,2020-08-19,100.57,100.6,TS2009.CFE
TS00.CFE,2020-08-20,100.52,100.54,TS2009.CFE
TS00.CFE,2020-08-21,100.545,100.55,TS2009.CFE
TS00.CFE,2020-08-24,100.525,100.54,TS2009.CFE
TS00.CFE,2020-08-25,100.435,100.455,TS2009.CFE
TS00.CFE,2020-08-26,100.395,100.41,TS2009.CFE
TS00.CFE,2020-08-27,100.36,100.37,TS2009.CFE
TS00.CFE,2020-08-28,100.34,100.33,TS2009.CFE
TS00.CFE,2020-08-31,100.39,100.39,TS2009.CFE
TS00.CFE,2020-09-01,100.39,100.39,TS2009.CFE
TS00.CFE,2020-09-02,100.39,100.31,TS2009.CFE
